epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,4.629151,4.380134,0.000000,1.872391
0,500,3.389171,3.331372,5.981038,6.371466
0,1000,3.367445,3.343988,6.066084,6.372523
0,1500,3.368483,3.342273,6.074084,6.372259
0,2000,3.364852,3.324155,6.102774,6.372325
0,2500,3.360119,3.319357,6.124850,6.372589
0,3000,3.357735,3.328757,6.135988,6.372193
0,3500,3.354778,3.315928,6.137604,6.371929
0,4000,3.354387,3.315513,6.147076,6.371863
0,4500,3.354082,3.331275,6.145779,6.372127
0,5000,3.354193,3.330601,6.145501,6.371929
0,5122,3.353687,3.397415,6.144904,6.371598
1,5500,3.061124,2.760823,7.826385,3.798547
1,6000,2.761532,2.603493,10.003413,3.407530
1,6500,2.640070,2.591447,11.074583,3.297358
1,7000,2.570202,2.551076,11.703513,3.121334
1,7500,2.523058,2.529732,12.120660,3.295905
1,8000,2.488275,2.462293,12.440882,3.256209
1,8500,2.461637,2.439935,12.667254,2.991678
1,9000,2.438459,2.506877,12.869206,3.229524
1,9500,2.420873,2.452926,13.014866,3.108454
1,10000,2.407224,2.409012,13.134546,3.180647
1,10244,2.403149,2.424254,13.172511,3.152378
2,10500,2.467173,2.428033,12.882296,3.102180
2,11000,2.327669,2.292460,13.862550,3.162946
2,11500,2.295610,2.299180,14.106205,3.167635
2,12000,2.279585,2.298971,14.237536,3.063342
2,12500,2.270101,2.291068,14.304320,2.955812
2,13000,2.263113,2.296388,14.368063,3.184610
2,13500,2.258297,2.302840,14.404237,3.162483
2,14000,2.251398,2.308442,14.477056,3.257133
2,14500,2.246567,2.299207,14.524971,3.082166
2,15000,2.244979,2.293616,14.547456,3.175627
2,15366,2.245841,2.294831,14.549980,3.223514
3,15500,2.513313,2.259233,12.755926,3.114927
3,16000,2.264398,2.232315,14.488189,3.004359
3,16500,2.229394,2.230185,14.726520,3.059247
3,17000,2.214827,2.230608,14.839939,3.338441
3,17500,2.203967,2.223689,14.917518,2.953435
3,18000,2.196492,2.217974,14.978368,3.104161
3,18500,2.190162,2.222074,15.035359,3.166182
3,19000,2.183934,2.192855,15.103122,2.932563
3,19500,2.177271,2.184472,15.165248,3.265654
3,20000,2.171544,2.176859,15.227497,2.935733
3,20488,2.170138,2.178380,15.259098,2.963804
4,20500,2.718763,2.222515,11.311538,3.046896
4,21000,2.188001,2.145748,15.255848,3.041149
4,21500,2.140977,2.145259,15.586130,3.017041
4,22000,2.125555,2.140142,15.697984,2.934214
4,22500,2.114878,2.137803,15.770368,2.974637
4,23000,2.108360,2.136027,15.818504,2.962021
4,23500,2.102748,2.122979,15.859973,3.039564
4,24000,2.096653,2.118851,15.915941,3.074769
4,24500,2.090960,2.110136,15.971144,2.972721
4,25000,2.086147,2.111633,16.017682,3.180713
4,25500,2.085499,2.097823,16.032136,3.065588
4,25610,2.086365,2.103755,16.028309,3.008058
