epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,9.826879,9.036612,0.000000,0.001330
0,500,7.408557,7.763903,5.535030,5.324202
0,1000,7.387283,7.826724,5.523876,5.323404
0,1295,7.393037,8.502917,5.515869,5.322872
1,1500,7.394526,6.703781,6.322087,3.315691
1,2000,6.148228,6.207819,9.231870,2.052926
1,2500,5.794577,6.107898,10.188930,1.862766
1,2590,5.754073,6.244393,10.313745,1.673936
2,3000,5.173568,5.683446,11.531144,1.962500
2,3500,5.013238,5.620903,12.217234,1.918351
2,3885,4.938628,5.632535,12.553591,1.815160
3,4000,5.053334,5.309788,11.726293,2.235372
3,4500,4.698592,5.250289,13.155357,2.064096
3,5000,4.610593,5.235949,13.557796,1.864096
3,5180,4.595446,5.281036,13.620232,1.746809
4,5500,4.576439,5.086408,13.448910,1.900266
4,6000,4.463760,5.074747,13.974300,1.996543
4,6475,4.413978,5.089024,14.212625,1.754521
